quote_number,gender,agecat,date_of_birth,credit_score,area,traffic_index,veh_age,veh_body,veh_value,numclaims,claimcst0
13122398,M,1,10/17/1991,,B,,4,SEDAN,0.814,0,221.7383503
92325500,F,6,4/15/1948,707,C,120,3,SEDAN,1.617,0,223.9804861
38645491,M,6,12/8/1949,704,B,123.3,2,SEDAN,1.991,0,56.55951284
62878341,F,2,8/15/1982,628,A,76.5,3,SEDAN,2.013,0,25.93189148
80266095,M,,6/18/1967,601,B,72.1,2,STNWG,3.41,0,0
34661665,M,1,12/28/1995,664,E,22.5,4,UTE,1.969,0,0
44227313,M,2,8/19/1982,648,A,84.6,4,UTE,1.144,0,0
55754919,F,,10/8/1958,805,D,90.5,3,HDTOP,1.694,0,0
76942868,M,5,3/16/1956,788,B,123.1,3,SEDAN,1.661,0,0
84950915,M,6,8/19/1935,656,C,129,2,SEDAN,1.705,0,44.56194064
92958954,F,5,2/16/1952,801,D,50.8,1,STNWG,5.214,0,0
39374834,M,4,8/29/1964,763,C,142.5,4,SEDAN,0.759,0,0
11132347,F,2,10/31/1988,826,C,139.5,2,STNWG,2.409,0,25.39173308
81071511,M,2,8/29/1983,601,D,82.5,2,STNWG,1.771,0,224.8378277
40669357,F,2,3/27/1982,723,B,158.7,3,HBACK,0.968,0,16.94374099
85954845,F,,5/26/1991,326,A,,2,SEDAN,1.606,0,6808.985837
78232870,F,2,3/2/1989,597,C,76.5,2,HBACK,1.386,0,0
26810315,F,2,2/2/1981,407,B,93.6,4,STNWG,2.145,0,1238.479605
25940777,F,3,8/2/1978,818,D,73.1,2,STNWG,2.937,0,0
97915114,F,4,11/11/1964,723,C,147,1,HBACK,1.628,0,252.934954
64929252,F,5,10/14/1950,839,C,109.5,3,HBACK,1.463,0,0
12280684,F,1,11/9/1990,706,F,126,4,HBACK,0.396,0,0
60302581,F,3,6/17/1977,599,C,129,3,SEDAN,1.661,0,30.02156705
53821655,F,3,4/11/1978,772,D,129.6,1,TRUCK,4.125,0,0
64919069,F,1,1/10/1991,531,F,140,1,HBACK,1.4839,0,72.87635948
28660202,M,6,7/15/1938,442,D,81.6,4,PANVN,0.33,0,3451.059838
92386264,M,5,3/7/1957,805,F,88,4,STNWG,1.441,0,110.6634569
92016100,M,6,4/28/1935,603,A,81.9,4,STNWG,1.397,0,231.7940284
19092557,M,3,2/6/1976,,D,68.1,1,STNWG,4.015,0,146.4389389
98173698,F,4,11/29/1968,404,D,169.4,4,HBACK,0.429,0,1756.55941
21108990,M,4,12/27/1963,634,D,63.1,3,STNWG,2.761,0,262.4649868
66172197,F,2,10/16/1982,771,C,138,2,SEDAN,1.793,0,0
68089108,M,5,11/4/1957,785,B,130.2,4,HBACK,0.748,0,0
75657253,F,6,3/21/1948,811,D,126.8,1,SEDAN,2.079,0,0
51892048,M,5,8/5/1951,530,B,120.2,4,HBACK,0.902,0,639.4099123
40193084,F,5,10/1/1959,736,A,49,3,HBACK,0.836,0,0
21786886,F,5,2/19/1957,784,E,49.5,2,HBACK,1.342,0,0
97989041,F,5,6/20/1953,769,B,114.8,4,HBACK,0.902,0,0
79007154,F,2,7/21/1981,,B,115.8,4,HBACK,0.605,0,166.2316691
48204500,F,3,9/28/1971,436,A,91,1,SEDAN,2.519,0,1581.332596
63827188,F,5,12/18/1951,765,D,133.4,2,STNWG,7.084,0,214.849612
70693806,F,4,4/25/1960,682,A,45.7,2,SEDAN,2.277,0,25.95746373
80881035,F,6,10/28/1948,818,D,127.7,3,HBACK,0.869,0,13.31089471
84366296,F,2,7/18/1984,513,D,99,3,STNWG,1.738,0,699.5735024
58940969,F,5,12/2/1955,838,C,145.5,3,SEDAN,0.869,0,0
79788941,F,5,4/27/1958,730,B,114.9,4,UTE,1.221,0,0
49131626,M,3,12/9/1975,621,B,125.6,3,SEDAN,1.166,0,0
26839896,M,2,3/5/1986,653,C,148.5,2,SEDAN,2.321,0,479.8087074
13768968,F,3,3/8/1979,764,E,63,4,SEDAN,0.77,0,0
76122078,M,2,2/10/1985,344,B,,4,STNWG,2.002,0,5771.560429
38942394,M,6,9/14/1949,746,E,39,3,SEDAN,1.045,0,0
76689872,M,1,6/13/1995,520,C,145.5,2,HBACK,1.826,0,1012.260249
72562185,F,2,10/14/1981,666,C,127.5,4,STNWG,1.111,0,92.85404895
43051425,M,4,3/5/1962,798,A,,4,HDTOP,1.166,0,0
69981406,F,4,3/25/1960,731,C,144,3,HBACK,2.046,0,63.97132065
62458533,M,4,10/5/1964,748,C,105,4,SEDAN,0.605,0,0
26104725,F,4,4/23/1968,769,B,105.1,1,HBACK,1.749,0,55.75216939
96846312,F,5,7/6/1952,720,F,132,4,HBACK,0.748,0,114.4587248
98803961,F,2,4/20/1986,447,B,98.7,4,SEDAN,1.21,0,302.3129118
85159928,M,2,9/12/1986,699,A,84.7,2,UTE,3.685,0,0
58355135,F,3,6/15/1972,362,E,15,1,STNWG,4.741,0,0
42477313,M,4,3/29/1963,683,A,92.4,4,HBACK,0.473,0,0
15762880,F,4,11/14/1961,563,A,89,2,HBACK,1.386,0,959.0483878
67038698,F,2,11/8/1980,360,A,83.9,2,STNWG,3.256,0,2966.052296
73576553,F,4,11/9/1966,637,A,74.2,1,HBACK,2.343,0,360.4139223
62225212,M,3,9/16/1979,433,A,69.2,3,SEDAN,1.243,0,2410.438595
31795991,F,4,9/5/1966,693,A,120.3,4,HBACK,0.99,0,18.03216629
75393455,M,2,8/18/1984,585,F,,4,STNWG,2.123,0,1092.453574
92882082,M,,10/13/1985,650,A,87.6,4,SEDAN,0.407,0,0
54829324,F,2,12/16/1986,750,A,105.3,3,SEDAN,1.023,0,22.01456741
41154120,F,2,6/27/1984,611,C,88.5,4,SEDAN,0.561,0,87.60731183
56079663,M,4,6/19/1960,760,A,77.4,2,TRUCK,3.817,0,164.7467693
44601507,F,2,11/14/1984,648,A,99,2,STNWG,2.97,0,0
46733776,M,2,9/1/1987,551,A,77,1,RDSTR,4.037,0,1684.882603
80494317,M,1,1/31/1990,556,C,133.5,3,STNWG,2.651,0,300.8012059
90568247,F,2,4/10/1983,764,C,100.5,3,HBACK,0.858,0,0
71936694,M,6,7/10/1949,348,A,,3,STNWG,1.386,0,623.1414253
41291469,F,4,12/1/1967,757,E,21,2,SEDAN,1.98,0,0
48412152,M,4,1/6/1966,768,A,94.2,1,STNWG,5.17,0,0
73998281,F,,4/19/1986,622,C,112.5,4,HBACK,0.374,0,164.4350475
14652848,F,,12/29/1999,639,A,118.9,3,STNWG,2.816,0,511.3097773
90216457,M,3,6/5/1976,622,F,,4,HDTOP,1.639,0,671.0216669
64315874,F,,3/8/1966,691,A,80.1,1,TRUCK,1.881,0,0
33869489,F,2,10/3/1984,645,D,75.3,4,HBACK,0.473,0,53.52017773
43616099,F,2,2/13/1985,690,C,138,4,STNWG,1.342,0,24.61013533
90779281,F,4,9/6/1967,599,D,122.2,3,HBACK,1.012,0,550.5448301
10236775,F,2,5/27/1988,321,C,103.5,3,SEDAN,1.078,0,205.6286369
34051323,M,5,6/1/1952,702,B,139.1,4,HBACK,0.429,0,0
16185235,F,5,1/12/1959,779,A,53.6,2,SEDAN,1.584,0,0
35757583,F,1,8/7/1999,619,D,98.9,1,UTE,3.487,0,1131.169788
85960067,M,4,12/28/1961,661,B,138.3,2,SEDAN,2.156,0,214.5468206
94226425,F,3,2/10/1971,627,E,42,1,STNWG,4.378,0,0
39351703,F,2,6/23/1984,616,F,64,3,STNWG,1.265,0,0
12578797,F,6,5/8/1942,848,C,121.5,3,PANVN,3.146,0,24.73891266
76970092,F,3,5/19/1978,750,D,43.9,3,HBACK,1.672,0,0
35975125,M,4,6/5/1961,677,C,106.5,4,MCARA,0,0,0
23123165,F,5,8/9/1958,525,C,141,1,SEDAN,2.167,1,1168.554959
58210096,M,3,9/11/1979,660,C,148.5,1,HBACK,1.8139,0,129.2583274
59014266,F,4,3/12/1967,625,F,180,4,STNWG,1.771,0,451.2843569
12191580,F,3,10/8/1972,622,B,,2,SEDAN,1.584,0,88.1510243
55821723,F,4,5/2/1965,766,B,128.4,1,HBACK,1.716,0,0
18031911,M,1,8/30/1992,613,F,152,4,UTE,2.277,0,2107.177829
36739187,F,5,9/5/1958,833,C,144,3,SEDAN,1.045,0,22.59090416
69520000,F,2,12/9/1981,599,F,114,3,STNWG,3.124,0,726.9553908
71684000,M,4,8/4/1968,810,A,112.1,3,HBACK,0.924,0,0
10686736,F,4,4/29/1969,633,B,,3,SEDAN,1.408,0,0
34075602,F,4,4/18/1968,646,B,138.3,1,HBACK,1.54,0,0
43896699,F,,10/21/1965,826,C,147,2,SEDAN,1.804,0,0
41986508,M,2,4/6/1980,,C,148.5,4,STNWG,0.319,0,0
51434202,F,5,2/24/1950,830,C,,1,UTE,3.487,0,425.5210501
41006836,M,2,9/12/1985,598,B,134.1,3,SEDAN,1.43,0,167.7506264
14237861,F,2,2/7/1989,644,A,73.6,3,HBACK,0.847,0,53.52017773
65811133,M,2,12/7/1987,675,D,151.6,2,UTE,3.3,0,248.7292944
53171375,M,5,12/28/1959,748,A,79.4,4,HBACK,0.528,0,50.39381839
59884180,M,4,2/24/1966,642,D,58.1,3,TRUCK,2.871,0,1022.482712
16608758,M,4,2/13/1961,758,C,124.5,3,HBACK,1.045,0,21.53301908
65057230,M,4,5/25/1966,724,E,79.5,4,STNWG,1.397,0,0
64627626,F,,3/6/1961,647,C,123,3,SEDAN,1.32,0,247.6785631
19599794,F,4,6/7/1968,669,A,97.9,2,SEDAN,1.617,0,0
33673043,M,3,3/2/1970,649,A,40.6,4,STNWG,2.189,0,0
32082052,F,5,10/27/1953,780,B,90.1,1,HBACK,1.43,0,26.32408604
59745021,F,,5/8/1954,757,B,134.6,3,HBACK,0.869,0,0
69480540,F,3,11/23/1973,650,B,119.6,3,SEDAN,1.265,0,58.78542494
12670434,M,4,4/24/1961,598,B,110,4,HBACK,1.166,0,962.7753194
38611131,F,4,3/26/1962,547,A,93.7,4,STNWG,0.451,0,149.6370286
50577468,F,2,10/5/1982,552,D,99.3,1,UTE,3.718,1,1577.853448
90350655,F,4,11/16/1963,623,A,96.2,2,HBACK,1.914,0,465.8559746
89430114,M,,8/26/1963,609,D,120.6,4,TRUCK,1.694,0,107.0208909
32837276,M,6,11/27/1934,796,F,92,1,UTE,5.214,0,0
67174664,F,5,9/20/1956,713,A,106.4,4,SEDAN,1.045,0,35.35535066
69514106,M,5,7/29/1958,752,D,77.5,3,STNWG,2.717,0,0
59260492,F,3,7/13/1975,662,C,132,4,SEDAN,1.32,0,38.7093679
77327513,M,5,9/5/1957,645,A,93.5,3,HDTOP,2.915,0,0
83252408,F,6,4/24/1945,632,A,41.5,4,HBACK,0.495,0,82.94688244
95132005,F,6,4/5/1945,834,C,135,4,SEDAN,0.319,0,0
83277971,F,4,6/2/1969,775,F,98,4,HDTOP,1.298,0,702.2253814
75852316,M,2,2/6/1985,678,C,145.5,3,STNWG,2.519,0,24.79173303
80851724,M,2,3/27/1980,600,B,,3,HBACK,1.012,0,686.3976079
98000644,F,2,11/30/1981,779,A,108.2,4,HBACK,1.122,0,0
21146079,M,2,6/10/1983,689,C,124.5,2,SEDAN,1.892,0,35.69614075
42760534,M,4,12/27/1961,687,C,147,4,SEDAN,0.561,0,17.32314621
44005957,F,3,11/6/1976,621,A,70.9,3,HBACK,1.628,0,0
74604156,M,3,10/16/1975,611,E,10.5,3,STNWG,2.277,0,276.4900794
18105630,M,,2/11/1970,651,C,133.5,4,HBACK,0.55,0,0
24270334,M,3,10/31/1970,589,C,145.5,4,SEDAN,1.001,0,242.8857242
89392990,F,2,1/31/1986,,A,56.2,2,SEDAN,1.441,0,597.6957142
